Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2nMeu6UenVvwUktBCpLMK9,"Young And Beautiful","Young And Beautiful","Lana Del Rey",2013-01-01,236053,91,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:57:49Z,"","Polydor Records",0.324,0.416,11,-8.92,0,0.0368,0.262,0.0000369,0.11,0.151,113.986,4
spotify:track:1f8zcJPvJKvxAOjEqM0pyc,"Love Yourself","Purpose (Deluxe)","Justin Bieber",2015-11-13,233720,77,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:17:56Z,"","RBMG/Def Jam",0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.43,4
spotify:track:2ORrgw8M0ZbrFlm5cpaKCv,"True Colors","True Colors","Anna Kendrick;Justin Timberlake",2016-09-16,243720,64,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:40:14Z,"children’s music","Villa 40/RCA Records",0.29,0.261,4,-9.163,1,0.0277,0.66,0,0.155,0.0999,143.598,4
spotify:track:1nInOsHbtotAmEOQhtvnzP,"Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-24,221946,81,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:49:05Z,"christmas","RCA Records Label",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
spotify:track:5TvE3pk05pyFIGdSY9j4DJ,"Say Something","Is There Anybody Out There? - Track by Track Commentary","A Great Big World;Christina Aguilera",2014-01-16,229400,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:28:56Z,"","Epic",0.407,0.147,2,-8.822,1,0.0355,0.857,0.00000289,0.0913,0.0765,141.284,3
spotify:track:2wQ411UQL2MRsdAgPRUstT,"Walk Thru Fire","Walk Thru Fire","Vicetone",2018-08-03,194482,67,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:00:52Z,"edm","Monstercat",0.639,0.664,5,-4.926,1,0.0357,0.329,0.00000153,0.382,0.351,116.028,4
spotify:track:1QV6tiMFM6fSOKOGLMHYYg,"Poker Face","The Fame","Lady Gaga",2008-01-01,237200,87,true,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:01:25Z,"art pop,pop","Streamline/Interscope",0.851,0.806,4,-4.618,1,0.0787,0.119,0.00000172,0.121,0.774,119.001,4
spotify:track:4cluDES4hQEUhmXj6TXkSo,"What Makes You Beautiful","Up All Night","One Direction",2012-05-25,199986,89,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:07:01Z,"","Syco Music UK",0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,4
spotify:track:23L5CiUhw2jV1OIMwthR3S,"In the Name of Love","In the Name of Love","Martin Garrix;Bebe Rexha",2016-07-29,198815,85,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:07:38Z,"edm,progressive house,electronica","Epic Amsterdam",0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,4
spotify:track:60wwxj6Dd9NJlirf84wr2c,"Clarity","Clarity","Zedd;Foxes",2012-01-01,271426,85,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:07:49Z,"edm","Interscope",0.509,0.781,8,-3.48,1,0.072,0.0398,0,0.0749,0.176,128,4
