Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3FeVmId7tL5YN8B7R3imoM,"My Universe","My Universe","Coldplay;BTS",2021-09-24,228000,76,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:03:12Z,"k-pop","Parlophone UK",0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,4
spotify:track:3cuGik6VFOpDNWW4yFqnl9,"Wake (Live)","We Are Young & Free","Hillsong Young & Free;TAYA",2013-10-01,275573,1,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:03:23Z,"worship,christian,pop worship,christian edm,christian pop,gospel","Hillsong Music",0.508,0.981,4,-3.882,0,0.0629,0.000154,0.0000616,0.833,0.381,131.026,4
spotify:track:1kPpge9JDLpcj15qgrPbYX,"Good Time","The Midsummer Station","Owl City;Carly Rae Jepsen",2012-08-17,205933,81,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:52:08Z,"","Universal Records",0.56,0.872,3,-4.269,1,0.14,0.0239,0.00000698,0.371,0.682,126.05,4
spotify:track:0U1W2LZVUX7qTm7dDpqxh6,"When You're Gone","When You're Gone","Shawn Mendes",2022-03-31,172266,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:06:34Z,"","Shawn Mendes LP4-5 PS/ Island",0.603,0.691,5,-5.805,1,0.0372,0.0248,0,0.583,0.577,147.148,4
spotify:track:2WnAKZefdRHxtBEkRjFOHC,"Anyone","Justice","Justin Bieber",2021-03-19,190779,76,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:06:45Z,"","RBMG/Def Jam",0.685,0.521,2,-8.285,1,0.0345,0.185,0.00000359,0.111,0.578,115.885,4
spotify:track:1JDIArrcepzWDTAWXdGYmP,"I Want You To Know","True Colors","Zedd;Selena Gomez",2015-05-15,240000,72,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:07:23Z,"edm","Interscope",0.579,0.846,9,-2.876,0,0.0574,0.00537,0.00000688,0.145,0.367,129.999,4
spotify:track:3IPnBzGRMg6BfViFxxa0Gq,"Love Is an Open Door - From ""Frozen""/Soundtrack Version","Frozen (Original Motion Picture Soundtrack / Deluxe Edition)","Kristen Bell;Santino Fontana",2013-01-01,124733,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:15:36Z,"","Walt Disney Records",0.737,0.636,6,-6.308,0,0.0737,0.262,0,0.319,0.537,100.033,4
spotify:track:5viFjDGTnrApmUY5c8qkfw,"A Whole New World","Aladdin (Original Motion Picture Soundtrack)","Mena Massoud;Naomi Scott",2019-05-22,175593,68,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:16:28Z,"","Walt Disney Records",0.395,0.375,0,-7.948,1,0.034,0.225,0,0.145,0.131,121.04,4
spotify:track:3Hz3tTQwOdM6XkA0ALB2G9,"Feel Special","Feel Special","TWICE",2019-09-23,206866,72,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T04:40:12Z,"k-pop","Republic Records - TWICE",0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,4
spotify:track:1jF7IL57ayN4Ity3jQqGu0,"Try","The Truth About Love","P!nk",2012-09-18,247911,86,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-11-13T14:41:05Z,"","RCA Records Label",0.674,0.628,2,-7.079,1,0.03,0.00144,0,0.0944,0.552,103.998,4
spotify:track:7K5dzhGda2vRTaAWYI3hrb,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","P!nk",2016-04-15,215413,72,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-12-11T05:03:45Z,"","RCA Records/Walt Disney Records",0.632,0.702,7,-5.92,1,0.148,0.0114,0,0.108,0.523,162.958,4
spotify:track:0IEVKWduAaMcZepZQVr80T,"Likey","Twicetagram","TWICE",2017-10-30,207813,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-12-18T04:37:11Z,"k-pop","Republic Records - TWICE",0.723,0.903,4,-1.262,0,0.033,0.413,0.000377,0.118,0.443,132.006,4
spotify:track:2qQpFbqqkLOGySgNK8wBXt,"FANCY","FANCY YOU","TWICE",2019-04-22,213880,75,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-12-18T04:37:17Z,"k-pop","Republic Records - TWICE",0.697,0.874,5,-2.15,0,0.0449,0.0122,0,0.627,0.775,132.018,4
spotify:track:7ef4DlsgrMEH11cDZd32M6,"One Kiss (with Dua Lipa)","One Kiss (with Dua Lipa)","Calvin Harris;Dua Lipa",2018-04-06,214846,83,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-12-19T14:26:58Z,"edm,pop","Sony Music UK",0.791,0.862,9,-3.24,0,0.11,0.037,0.0000219,0.0814,0.592,123.994,4
spotify:track:34oB5r0lcN3fYWCs2uA1k5,"The Cure","The Cure","Lady Gaga",2017-04-16,211363,67,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2025-05-02T19:47:31Z,"art pop,pop","Interscope",0.697,0.506,8,-4.863,1,0.0325,0.0792,0,0.0893,0.516,100.002,4
spotify:track:0BKvzaT15jI9cez1BGf8kS,"Watch Me Work","Watch Me Work","Tinashe",2014,269160,49,true,31obk3g3hqkzzzbcgy6uonvv4zfu,2025-05-02T19:47:51Z,"alternative r&b","RCA Records Label",0.584,0.629,8,-6.696,0,0.0411,0.187,0,0.306,0.813,200.04,4
