Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0puf9yIluy9W0vpMEUoAnN,"Bang Bang","Sweet Talker (Deluxe Version)","Jessie J;Ariana Grande;Nicki Minaj",2014-10-10,199386,83,false,,1970-01-01T00:00:00Z,"pop","Lava Music/Republic Records",0.706,0.786,0,-3.417,0,0.091,0.26,0,0.38,0.751,150.028,4
spotify:track:7ju97lgwC2rKQ6wwsf9no9,"Rain On Me (with Ariana Grande)","Chromatica","Lady Gaga;Ariana Grande",2020-05-29,182200,78,false,,1970-01-01T00:00:00Z,"art pop,pop","Interscope",0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056,4
spotify:track:5hGSM1NIumwLgI0Y97X9xB,"New Thang","Party Rock Mansion","Redfoo",2016-03-18,226800,62,false,,1970-01-01T00:00:00Z,"","Party Rock Records",0.743,0.841,0,-5.189,1,0.0391,0.0156,0,0.133,0.814,100.003,4
spotify:track:7lI4Fggd8KZuE76MJlA54P,"第一天","完美的一天","Stefanie Sun",2005-10-07,253960,60,false,,1970-01-01T00:00:00Z,"mandopop,taiwanese pop,c-pop,malay pop,cantopop","WM Taiwan",0.428,0.904,8,-4.042,1,0.0975,0.0371,0,0.316,0.623,176.105,4
spotify:track:1mHoqHeQClLBp5UO3TbUac,"The Show","Lenka (Expanded Edition)","Lenka",2008-09-23,235693,61,false,,1970-01-01T00:00:00Z,"","Epic",0.753,0.59,0,-4.144,1,0.0317,0.259,0,0.0836,0.593,123.028,4
spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"APT.","rosie","ROSÉ;Bruno Mars",2024-12-06,169917,86,false,,1970-01-01T00:00:00Z,"k-pop","Atlantic Records",0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
spotify:track:3KwwE4sgCzMaKWq6QBebmX,"Me Too","Thank You (Deluxe Version)","Meghan Trainor",2017-05-12,181240,79,false,,1970-01-01T00:00:00Z,"","Epic",0.934,0.694,11,-5.849,0,0.101,0.0971,0.0000012,0.477,0.833,123.831,4
spotify:track:6D60klaHqbCl9ySc8VcRss,"Stronger (What Doesn't Kill You)","Stronger (Deluxe Version)","Kelly Clarkson",2011-10-24,221946,71,false,,1970-01-01T00:00:00Z,"christmas","RCA Records Label",0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4
spotify:track:3C0nOe05EIt1390bVABLyN,"On The Floor","Love?","Jennifer Lopez;Pitbull",2011-04-29,284866,93,false,,1970-01-01T00:00:00Z,"","Nuyorican Productions / IDJ",0.73,0.777,3,-5.194,0,0.0496,0.105,0.000486,0.0691,0.575,130.003,4
spotify:track:57fqPbwSY4bs8ycxzkek1C,"穷开心","花龄盛会","花兒樂隊",2007,198000,37,false,,1970-01-01T00:00:00Z,"chinese rock,mandopop,c-pop","Gold Typhoon China",0.601,0.971,10,-2.232,1,0.0638,0.275,0,0.22,0.964,149.95,4
spotify:track:5YqEzk3C5c3UZ1D5fJUlXA,"Sunroof","Good Times Go","Nicky Youre;hey daisy",2023-06-09,163025,85,false,,1970-01-01T00:00:00Z,"","Thirty Knots/Columbia",0.768,0.714,10,-5.11,1,0.0401,0.352,0,0.15,0.842,131.443,4
spotify:track:5nujrmhLynf4yMoMtj8AQF,"Levitating (feat. DaBaby)","Future Nostalgia","Dua Lipa;DaBaby",2020-03-27,203064,86,false,,1970-01-01T00:00:00Z,"pop","Warner Records",0.702,0.825,6,-3.787,0,0.0601,0.00883,0,0.0674,0.915,102.977,4
spotify:track:382BQm15tLs8HbgH3W9wgU,"happy.BIRTH.day","happy.BIRTH.day","Ashin Chen",2006-02-16,231578,38,false,,1970-01-01T00:00:00Z,"mandopop,c-pop,taiwanese pop","Rock Records Co., Ltd.",0.509,0.557,7,-6.13,1,0.0461,0.236,0,0.0765,0.558,203.973,4
spotify:track:1CSAUEapYQQOD50ardFG0K,"Glide","Glide","NEIKED;Portugal. The Man",2025-03-28,184405,81,false,,1970-01-01T00:00:00Z,"","Columbia Local",0.767,0.698,3,-6.559,1,0.0334,0.044,0.000117,0.171,0.531,121.99,4
spotify:track:4kbj5MwxO1bq9wjT5g9HaA,"Shut Up and Dance","TALKING IS HARD","WALK THE MOON",2014-12-02,199080,89,false,,1970-01-01T00:00:00Z,"","RCA Records Label",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,4
spotify:track:3U5JVgI2x4rDyHGObzJfNf,"Unwritten","Unwritten","Natasha Bedingfield",2004-08-30,259333,91,false,,1970-01-01T00:00:00Z,"","Sony Music CG",0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,4
spotify:track:3TGRqZ0a2l1LRblBkJoaDx,"Call Me Maybe","Kiss (Deluxe)","Carly Rae Jepsen",2012-01-01,193400,79,false,,1970-01-01T00:00:00Z,"","Silent Records IGA",0.782,0.58,7,-6.548,1,0.0407,0.0114,0.00000228,0.108,0.66,120.021,4
spotify:track:4y5bvROuBDPr5fuwXbIBZR,"Paper Rings","Lover","Taylor Swift",2019-08-23,222400,79,false,,1970-01-01T00:00:00Z,"","Taylor Swift",0.811,0.719,9,-6.553,1,0.0497,0.0129,0.0000136,0.0742,0.865,103.979,4
spotify:track:4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,88,false,,1970-01-01T00:00:00Z,"soft pop","Columbia",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
spotify:track:1Ehdm1PDlKrdfyBsjwEvd1,"Top Of The World","A Song For You","Carpenters",1972,179173,72,false,,1970-01-01T00:00:00Z,"christmas,adult standards","A&M",0.379,0.343,10,-12.993,1,0.0385,0.806,0,0.0991,0.694,184.301,4
