Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0FJL3Dwu8oUpwDb80qNdvP,"Always with Me","Spirited Away Soundtrack","Yumi Kimura",2001-07-18,215426,59,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:55:32Z,"anime","Joe Hisaishi",0.436,0.0438,5,-19.577,1,0.0527,0.993,0,0.0842,0.688,144.532,4
spotify:track:7k1HoUdskuBhyWvm7hPctM,"Call of Silence","TV Anime ""Attack on Titan Season 2"" (Original Soundtrack)","Sawano Hiroyuki",2017-06-07,178213,65,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:11:44Z,"anime,soundtrack","PONY CANYON",0.504,0.38,6,-11.826,0,0.037,0.642,0.857,0.0697,0.0535,123.911,4
spotify:track:5mEqD00bdFcsiVd0MfvEeF,"Dream lantern","Your Name.","RADWIMPS",2016-08-24,131666,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:08:55Z,"anime,j-pop,j-rock","EMI Records",0.206,0.871,8,-5.751,1,0.419,0.0316,0.0000655,0.0596,0.125,175.6,3
spotify:track:1rN9QoVxw5U7TJkyaUR8C1,"unravel","Fantastic Magic","TK from Ling tosite sigure",2014-08-27,238360,75,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:25:13Z,"anime,j-rock,j-pop","Sony Music Labels Inc.",0.508,0.889,7,-2.755,0,0.0862,0.0495,0,0.0984,0.332,135.014,4
spotify:track:7pcTLUekZJQnzDOUDuExVJ,"打上花火","打上花火","Daoko;Kenshi Yonezu",2017-08-16,289334,68,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:24:19Z,"j-pop,anime,j-rock","TOY'S FACTORY",0.635,0.667,6,-5.392,1,0.0253,0.207,0,0.108,0.261,96.003,4
spotify:track:6k0X05danQOXSBTVek5DU1,"The Rumbling","The Rumbling","SiM",2022-02-07,220799,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:11:49Z,"anime,j-rock","PONY CANYON INC.",0.459,0.878,5,-1.399,0,0.0688,0.0000562,0.000307,0.371,0.494,144.852,4
spotify:track:5cRKj1kynNFqiliT2ndZ3y,"Akuma no Ko","Akuma no Ko","Ai Higuchi",2022-01-10,227679,66,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:13:31Z,"anime,j-pop","PONY CANYON INC.",0.561,0.686,6,-6.273,0,0.0473,0.267,0,0.137,0.22,89.97,4
spotify:track:5uraJqtCBvLpwt3VeomZdq,"Shinzo wo Sasageyo !","Shingeki no Kiseki","Linked Horizon",2017-05-17,341413,71,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:11:54Z,"anime","PONY CANYON INC.",0.44,0.983,0,-4.36,1,0.0868,0.22,0,0.26,0.203,159.968,4
spotify:track:04TshWXkhV1qkqHzf31Hn6,"Lemon","STRAY SHEEP","Kenshi Yonezu",2020-08-05,255826,74,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:24:08Z,"j-pop,anime,j-rock","Sony Music Labels Inc.",0.525,0.646,11,-4.963,1,0.0268,0.304,0,0.297,0.373,86.957,4
spotify:track:1bEnIDpwKsyhDauHVoMz6t,"Blue Bird (From ""Naruto Shippuden"")","Blue Bird (From ""Naruto Shippuden"")","Akano",2020-12-22,100200,61,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:25:55Z,"anime","Akano",0.594,0.868,6,-3.286,0,0.0606,0.0209,0,0.209,0.691,151.976,4
spotify:track:7AEcphXUR52QGYxdZ8TDVI,"Vogel Im Kafig","TV Anime ""Attack on Titan"" Original Soundtrack","Sawano Hiroyuki",2013,380053,62,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:26:37Z,"anime,soundtrack","PONY CANYON INC.",0.109,0.335,9,-12.749,0,0.0353,0.386,0.91,0.0992,0.0397,75.475,4
spotify:track:0qMip0B2D4ePEjBJvAtYre,"紅蓮華","LEO-NiNE","LiSA",2020-10-14,237586,72,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-24T13:46:36Z,"anime,j-pop,j-rock","Sony Music Labels Inc.",0.541,0.977,4,-2.828,0,0.157,0.00321,0.0000513,0.0796,0.263,134.938,4
spotify:track:0a8J4Ep9K0U8SNDNmYLl6k,"それが大事","ゴールデン★ベスト 大事MANブラザーズバンド","Daijiman Brothers Band",2005,322786,58,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-08-23T10:18:15Z,"kayōkyoku,j-pop","Sony Music Direct (Japan) Inc.",0.718,0.818,0,-3.67,1,0.0315,0.433,0,0.268,0.958,119.073,4
