Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0IEVKWduAaMcZepZQVr80T,"Likey","Twicetagram","TWICE",2017-10-30,207813,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:00:11Z,"k-pop","Republic Records - TWICE",0.723,0.903,4,-1.262,0,0.033,0.413,0.000377,0.118,0.443,132.006,4
spotify:track:1GMufNnkKAnPLnqKJ5HHxW,"Lovesick Girls","THE ALBUM","BLACKPINK",2020-10-02,192765,71,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:00:27Z,"k-pop","YG Entertainment",0.658,0.732,6,-4.762,1,0.0654,0.00513,0,0.13,0.409,127.995,4
spotify:track:26OVhEqFDQH0Ij77QtmGP9,"YES or YES","YES or YES","TWICE",2018-11-05,237680,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:00:36Z,"k-pop","Republic Records - TWICE",0.702,0.913,11,-2.977,1,0.0374,0.0514,0.00000372,0.166,0.735,137.981,4
spotify:track:5iIpbD34k4wnuRMZDNnuWf,"I'm Not Cool","I'm Not Cool","HyunA",2021-01-28,174173,56,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:01:10Z,"k-pop","P NATION",0.883,0.845,11,-2.069,1,0.0585,0.0161,0.00157,0.29,0.656,116.004,4
spotify:track:49BJ8VnN9u73NdDycrVgs0,"Insomnia","Insomnia","휘성",2009-02-18,206023,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:02:54Z,"","스타코아 엔터테인먼트",0.74,0.757,6,-4.88,1,0.0307,0.0137,0,0.144,0.65,125.418,4
spotify:track:20mJzqIz7hsoCfGMozs4af,"촉이 와 (Can You Feel It?)","The Beat Goes On","SUPER JUNIOR-D&E",2015-03-06,208521,50,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:04:22Z,"k-pop","SM Entertainment",0.785,0.962,0,-2.683,1,0.137,0.236,0,0.255,0.949,128.042,4
spotify:track:4a9tbd947vo9K8Vti9JwcI,"Boy With Luv (feat. Halsey)","MAP OF THE SOUL : PERSONA","BTS;Halsey",2019-04-12,229773,80,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:09:08Z,"k-pop","BIGHIT MUSIC",0.645,0.862,11,-4.761,0,0.0845,0.0933,0,0.193,0.803,119.947,4
spotify:track:6bvZRLLkBKkmgpBJTTj3QK,"How You Like That","THE ALBUM","BLACKPINK",2020-10-02,180956,71,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:09:39Z,"k-pop","YG Entertainment",0.813,0.787,11,-4.254,1,0.0777,0.0452,0.000107,0.0506,0.326,130.018,4
spotify:track:63irPUP3xB74fHdw1Aw9zR,"MANIAC","ODDINARY","Stray Kids",2022-03-18,182757,78,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:09:46Z,"k-pop,noise music","Republic Records - Stray Kids",0.581,0.8,1,-2.613,1,0.411,0.154,0,0.0697,0.709,119.872,5
spotify:track:1cdbkpZ3q1KYZDNSrOpdkb,"Ice Cream (with Selena Gomez)","THE ALBUM","BLACKPINK;Selena Gomez",2020-10-02,175813,65,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:10:04Z,"k-pop","YG Entertainment",0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974,4
spotify:track:3BPoSr2pO34Aan6alFfVto,"BBoom BBoom","GREAT!","MOMOLAND",2018-01-03,208863,68,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:18:48Z,"k-pop","DUBLEKICK COMPANY, Kakao Entertainment",0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,4
spotify:track:1R0hxCA5R7z5TiaXBZR7Mf,"SOLO","SOLO","JENNIE",2018-11-12,169566,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:31:28Z,"k-pop","YG Entertainment",0.752,0.642,3,-5.165,0,0.0869,0.0861,0,0.0953,0.388,95.043,4
spotify:track:3NxuezMdSLgt4OwHzBoUhL,"Way Back Home","Take","SHAUN",2018-06-27,214136,71,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:37:38Z,"k-pop","DCTOM",0.745,0.739,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,4
spotify:track:1HYzRuWjmS9LXCkdVHi25K,"Stay With Me","Guardian (Original Television Soundtrack), Pt. 1","CHANYEOL;Punch",2016-12-03,192441,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:50:44Z,"k-pop,soundtrack,k-ballad","Genie Music Corporation, Stone Music Entertainment",0.558,0.526,0,-4.686,0,0.033,0.431,0,0.126,0.202,124.709,4
spotify:track:1D6lK8qADoErTTLkY4YBfM,"Everytime","Descendants Of The Sun Pt.2 (Original Television Soundtrack)","CHEN;Punch",2016-02-25,189355,68,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:52:31Z,"k-ballad,soundtrack,k-pop","Ou Ent., Music&New",0.514,0.736,10,-4.364,1,0.0321,0.483,0,0.18,0.495,90.002,4
spotify:track:4s80CRYk3rRPZE56NvmFi7,"You Are My Everything","Descendants Of The Sun Pt.4 (Original Television Soundtrack)","GUMMY",2016-03-10,240590,65,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T01:52:41Z,"k-ballad,soundtrack,k-pop","Ou Ent. Music&New",0.343,0.499,6,-5.121,1,0.0387,0.665,0,0.119,0.104,131.076,4
spotify:track:3dI59jLoFMjMAyUAyRZnkE,"BANG BANG BANG","MADE","BIGBANG",2016-12-13,220177,76,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:00:41Z,"k-pop","YG Entertainment",0.69,0.843,1,-2.949,1,0.0534,0.0167,0,0.346,0.428,135.01,4
spotify:track:60jFaQV7Z4boGC4ob5B5c6,"TT","Twicecoaster: Lane 1","TWICE",2016-10-24,212986,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:00:58Z,"k-pop","Republic Records - TWICE",0.708,0.852,2,-4.398,1,0.0851,0.0525,0.00016,0.399,0.396,129.946,4
spotify:track:7lB4rxNVc7vm33ZSZXVRAQ,"CHEER UP","PAGE TWO","TWICE",2016-04-25,208853,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:03:45Z,"k-pop","Republic Records - TWICE",0.551,0.885,6,-1.489,1,0.124,0.139,0,0.114,0.509,172.95,4
spotify:track:0tnGCQAvjrRkB79fDMqV9z,"개소리 (BULLSHIT)","KWON JI YONG","G-DRAGON",2017-06-08,182079,56,true,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:04:11Z,"k-pop,k-rap","YG Entertainment",0.756,0.821,0,-5.494,1,0.0891,0.0533,0,0.354,0.574,96.008,4
spotify:track:49KDK2ccYnOCYPeXfDO3YT,"DINOSAUR","SUMMER EPISODE","AKMU",2017-07-20,240571,64,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:07:35Z,"k-ballad,k-pop","YG Entertainment",0.767,0.755,11,-3.938,0,0.03,0.303,0.0000362,0.105,0.631,120.978,4
spotify:track:6MC0anRfGPzSWrvybgsY7O,"舞い落ちる花びら（Fallin' Flower）","舞い落ちる花びら (Fallin' Flower)","SEVENTEEN",2020-03-31,212333,56,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:11:04Z,"k-pop","PLEDIS ENTERTAINMENT",0.641,0.85,9,-4.76,0,0.229,0.348,0,0.227,0.674,141.877,4
spotify:track:0t7kjpVLgOYITrSfFCoBEA,"Gee","Oh! - The Second Album","Girls' Generation",2010-01-28,201160,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:12:31Z,"k-pop","SM Entertainment",0.756,0.93,1,-1.082,0,0.0274,0.281,0,0.11,0.737,99.988,4
spotify:track:5GK7eDDTVz7CTge1wJrDQW,"Kill This Love","Kill This Love","BLACKPINK",2019-04-05,189052,70,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:15:41Z,"k-pop","YG Entertainment",0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,4
spotify:track:1p9damTV6h7u7THZKZB2tW,"Roly-Poly","John Travolta Wanna Be","T-ARA",2011-06-29,214427,1,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T02:18:58Z,"k-pop","Beyond Music",0.832,0.848,7,-7.407,1,0.0545,0.0919,0.0000283,0.0458,0.901,130.004,4
spotify:track:2qQpFbqqkLOGySgNK8wBXt,"FANCY","FANCY YOU","TWICE",2019-04-22,213880,75,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T09:01:32Z,"k-pop","Republic Records - TWICE",0.697,0.874,5,-2.15,0,0.0449,0.0122,0,0.627,0.775,132.018,4
spotify:track:3c0CJ0DBgsGZ7I79lyx02Z,"Like Ooh-Ahh","The Story Begins","TWICE",2015-10-20,215080,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-23T09:09:05Z,"k-pop","Republic Records - TWICE",0.721,0.875,6,-1.166,1,0.0783,0.241,0.000105,0.382,0.692,141.994,4
spotify:track:3omvXShuRPM3zbDpWYqf5g,"MORE & MORE","MORE & MORE","TWICE",2020-06-01,199653,64,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:53:31Z,"k-pop","Republic Records - TWICE",0.739,0.841,5,-4.162,1,0.06,0.0312,0,0.173,0.562,106.99,4
spotify:track:5NcLyVjUgG0yfwHgr5t81w,"MOONLIGHT SUNRISE","MOONLIGHT SUNRISE","TWICE",2023-01-20,180320,62,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:53:39Z,"k-pop","Republic Records - TWICE",0.749,0.781,1,-3.265,1,0.0578,0.392,0.00000212,0.086,0.606,125.09,4
spotify:track:0BTaaKT4RMbs5M73tOHX5Y,"Alcohol-Free","Taste of Love","TWICE",2021-06-11,210573,67,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:53:44Z,"k-pop","Republic Records - TWICE",0.688,0.909,8,-1.992,1,0.0624,0.0474,0.00000135,0.0674,0.702,97.097,4
spotify:track:3Hz3tTQwOdM6XkA0ALB2G9,"Feel Special","Feel Special","TWICE",2019-09-23,206866,72,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:53:49Z,"k-pop","Republic Records - TWICE",0.708,0.959,1,-1.338,1,0.0604,0.0296,0.00188,0.107,0.644,128.981,4
spotify:track:1utDFK1ARQcuZSwapf3cfb,"The Feels","The Feels","TWICE",2021-10-01,198053,66,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:54:01Z,"k-pop","Republic Records - TWICE",0.808,0.903,9,-2.179,1,0.0729,0.0899,0,0.0816,0.922,120.044,4
spotify:track:37ZtpRBkHcaq6hHy0X98zn,"I CAN'T STOP ME","Eyes Wide Open","TWICE",2020-10-26,205493,74,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:54:30Z,"k-pop","Republic Records - TWICE",0.657,0.88,10,-3.672,0,0.102,0.121,0,0.463,0.769,150.084,4
spotify:track:2vdkN2NSQ5mxqNGg7sJUxs,"ICY","IT'z ICY","ITZY",2019-07-29,191142,61,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:54:34Z,"k-pop","Republic Records - ITZY",0.8,0.904,2,-2.821,1,0.0845,0.0328,0.0000317,0.182,0.806,124.979,4
spotify:track:0rhI6gvOeCKA502RdJAbfs,"Sugar Rush Ride","The Name Chapter: TEMPTATION","TOMORROW X TOGETHER",2023-01-27,186570,69,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:54:42Z,"k-pop","Republic Records - TXT",0.712,0.893,10,-3.995,0,0.0851,0.00788,0,0.169,0.828,125.022,4
spotify:track:3O8G8eVrhfXTGttyQ1xVuq,"CASE 143","MAXIDENT","Stray Kids",2022-10-07,191964,73,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:54:50Z,"k-pop,noise music","Republic Records - Stray Kids",0.812,0.89,6,-2.661,0,0.209,0.0961,0,0.0222,0.69,100.006,4
spotify:track:4XPXrcpyNr30Km6aPiflJy,"God’s Menu","GO LIVE","Stray Kids",2020-06-17,167922,76,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:57:19Z,"k-pop,noise music","Republic Records - Stray Kids",0.689,0.771,5,-3.618,1,0.0548,0.00776,0,0.521,0.482,157.052,4
spotify:track:6NnCWIWV740gP7DQ8kqdIE,"Nxde","I love","i-dle",2022-10-17,178453,3,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:57:25Z,"k-pop","Cube Entertainment",0.726,0.91,4,-1.948,0,0.179,0.0413,0.00000781,0.479,0.648,135.966,4
spotify:track:0IGUXY4JbK18bu9oD4mPIm,"TOMBOY","I NEVER DIE","i-dle",2022-03-14,174386,4,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:57:28Z,"k-pop","Cube Entertainment",0.755,0.87,1,-2.414,0,0.0936,0.00988,0,0.0917,0.645,124.032,4
spotify:track:2gYj9lubBorOPIVWsTXugG,"After LIKE","After LIKE","IVE",2022-08-22,176973,75,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T08:57:36Z,"k-pop","Starship Entertainment",0.68,0.922,0,-1.215,1,0.121,0.103,0,0.0877,0.799,125.014,4
spotify:track:0yB4jrSwN0bFtFRDR5vyMj,"Love Shot","LOVE SHOT– The 5th Album Repackage","EXO",2018-12-13,200306,74,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T09:09:51Z,"k-pop","SM Entertainment",0.689,0.678,5,-4.287,0,0.119,0.0702,0,0.0889,0.335,145.883,4
spotify:track:13MF2TYuyfITClL1R2ei6e,"BOOMBAYAH","SQUARE ONE","BLACKPINK",2016-08-08,240793,78,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T09:09:54Z,"k-pop","YG Entertainment",0.661,0.836,5,-3.164,0,0.059,0.00268,0,0.497,0.396,124.952,4
spotify:track:6NEoeBLQbOMw92qMeLfI40,"WHISTLE","SQUARE ONE","BLACKPINK",2016-08-08,211631,75,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-03-15T09:09:57Z,"k-pop","YG Entertainment",0.818,0.723,11,-4.82,1,0.114,0.00561,0,0.0866,0.607,102.945,4
spotify:track:3CYH422oy1cZNoo0GTG1TK,"Psycho","‘The ReVe Festival’ Finale","Red Velvet",2019-12-23,210560,75,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:01:04Z,"k-pop","SM Entertainment",0.664,0.666,8,-2.203,1,0.0446,0.193,0,0.0854,0.405,139.987,4
spotify:track:4ZxOuNHhpyOj4gv52MtQpT,"As If It's Your Last","As If It's Your Last","BLACKPINK",2017-06-22,213264,79,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:01:07Z,"k-pop","YG Entertainment",0.786,0.852,8,-2.687,1,0.0813,0.0687,0,0.0759,0.455,125.036,4
spotify:track:7EyhPjrJzjx0fk2i7vUJCS,"Pink Venom","Pink Venom","BLACKPINK",2022-08-19,186964,60,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:01:57Z,"k-pop","YG Entertainment",0.794,0.719,0,-7.227,1,0.0761,0.0119,0,0.276,0.69,90.016,4
spotify:track:6tCd8bPvYnceDG7W9M1RMk,"Shut Down","BORN PINK","BLACKPINK",2022-09-16,175889,71,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2023-05-14T15:02:26Z,"k-pop","YG Entertainment",0.813,0.657,0,-6.447,1,0.0372,0.00269,0,0.183,0.651,110.053,3
