Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2hBHcpjrnYQoFMNhPg6w94,"好好生活就是美好生活","好好生活就是美好生活","Zhou Shen",2021-12-29,222554,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:54:46Z,"gufeng,c-pop,mandopop","字节跳动",0.528,0.457,5,-7.654,1,0.0322,0.379,0,0.094,0.371,159.892,4
spotify:track:5QRizvMkGznUDYropgzLeJ,"天若有情 - 電視劇「錦繡未央」主題曲","天若有情 (電視劇「錦繡未央」主題曲)","A-Lin",2016-11-01,257254,57,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:49:05Z,"mandopop,taiwanese pop,c-pop,gufeng,malay pop","Sony Music Entertainment",0.28,0.477,3,-9.151,1,0.041,0.917,0,0.117,0.496,168.691,4
spotify:track:2cCVY7KyjVqsyc3v26zOO4,"為你我受冷風吹","回憶蓮蓮","Sandy Lam",2006-08-18,257733,43,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:05:53Z,"cantopop,mandopop,c-pop,taiwanese pop","Rock Records Co., Ltd.",0.487,0.427,7,-8.176,1,0.0401,0.777,0,0.27,0.167,119.537,4
spotify:track:3sm0frEMyFXOoBvHnOtRFS,"聽雪 - 電視劇《烈火如歌》如歌情感主題曲","聽雪-電視劇《烈火如歌》如歌情感主題曲","Zhang Bichen",2018-03-08,235932,35,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T17:54:51Z,"gufeng,mandopop,c-pop","Linfair Records Limited",0.345,0.46,1,-8.768,1,0.0343,0.767,0,0.274,0.265,142.109,4
spotify:track:2HmRjsswgcKVjIhM8LzKrg,"一百萬個可能","一百萬個可能","克麗絲叮",2014-11-07,275453,46,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:53:59Z,"c-pop,mandopop","Great Music Publishing Ltd.",0.571,0.593,2,-5.852,1,0.0295,0.391,0,0.112,0.144,109.971,4
spotify:track:7mP4bBFQgt6B3sJfqkIzt2,"夜空中最亮的星","世界","Escape Plan",2012-01-01,252253,64,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:57:25Z,"chinese rock,mandopop,chinese indie,c-pop,taiwanese indie","北京意視互動廣告有限公司",0.52,0.366,11,-8.991,1,0.0283,0.519,0,0.0998,0.136,107.992,4
spotify:track:42wYrHsVR7hrWxENJZr4zY,"唱廣東歌","亞洲通牒","Namewee;Candy Lo",2018-12-21,218667,37,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:56:11Z,"mandopop,c-pop,taiwanese pop,chinese hip hop,cantopop","亞洲通文創有限公司",0.727,0.759,11,-5.184,1,0.0563,0.75,0,0.122,0.801,150.043,4
spotify:track:2AwYywTNbeiWqQcLqt8UwP,"你要的愛","怎樣","Penny Tai",2001-01-18,242440,63,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:58:17Z,"mandopop,taiwanese pop,c-pop","Gold Typhoon Taiwan",0.328,0.32,5,-10.292,1,0.0378,0.303,0,0.259,0.2,147.99,4
spotify:track:2k3NAOhrpY4DJJlt5XjDKF,"蘭亭序","魔杰座","Jay Chou",2008-11-09,251960,0,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:58:53Z,"mandopop,c-pop,taiwanese pop,gufeng,malay pop,cantopop,chinese r&b","JVR",0.43,0.54,2,-8.058,1,0.0328,0.317,0,0.375,0.342,152.051,4
spotify:track:4JY5s40ymnG18f6wxQtzPw,"珊瑚海","11月的蕭邦","Jay Chou;Lara Liang",2005-11-01,254320,2,false,31obk3g3hqkzzzbcgy6uonvv4zfu,2022-10-22T16:59:11Z,"mandopop,c-pop,taiwanese pop,gufeng,malay pop,cantopop,chinese r&b","JVR",0.451,0.565,8,-5.537,1,0.0279,0.773,0,0.135,0.147,145.978,4
